,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,Omsukchan,0,RU,1562870388,55,62.53,155.8,60.87,3.98
68,Ilulissat,40,GL,1562870103,81,69.22,-51.1,44.6,6.93
69,Dikson,100,RU,1562870391,96,73.51,80.55,32.97,3.98
70,Podgorica,0,ME,1562870392,44,42.44,19.26,77.0,5.82
71,Longyearbyen,75,NO,1562870393,75,78.22,15.63,46.4,6.93
72,Puerto Ayora,20,EC,1562870359,65,-0.74,-90.35,78.8,18.34
73,Tiksi,90,RU,1562870396,58,71.64,128.87,54.03,10.98
74,Esperance,90,AU,1562869724,100,-33.86,121.89,48.2,6.93
75,Georgetown,40,GY,1562870398,79,6.8,-58.16,86.0,6.93
76,Chokurdakh,99,RU,1562870399,93,70.62,147.9,56.19,13.65
77,Saint-Philippe,75,CA,1562870401,88,45.36,-73.48,78.01,10.29
78,Yulara,100,AU,1562870190,31,-25.24,130.99,46.4,3.36
79,Sorland,90,NO,1562869775,87,67.67,12.69,51.8,17.22
80,Hithadhoo,49,MV,1562870404,73,-0.6,73.08,84.81,11.01
81,Meiktila,98,MM,1562870406,79,20.88,95.86,78.69,21.68
82,Vitim,17,RU,1562870407,74,59.44,112.57,60.69,2.51
83,Lebu,75,ET,1562870408,82,8.96,38.73,62.6,6.93
84,Dukat,17,AL,1562870410,60,40.25,19.57,70.0,14.0
85,Corrales,96,CO,1562870373,53,5.83,-72.84,62.67,0.38
86,Adrar,32,DZ,1562870412,8,27.87,-0.29,114.8,5.82
87,Ocos,20,GT,1562870413,49,14.51,-92.19,91.4,6.93
88,Ergani,0,TR,1562870415,27,38.27,39.76,89.6,9.17
89,Marzuq,67,YE,1562870089,45,14.4,46.47,79.59,5.88
90,Zhigansk,71,RU,1562870417,58,66.77,123.37,66.09,6.96
91,Torbay,90,CA,1562870277,93,47.66,-52.73,52.0,9.17
92,Arlit,26,NE,1562870111,6,18.74,7.39,107.13,7.07
93,Mareeba,90,AU,1562870421,94,-16.99,145.42,68.0,8.05
94,Nadym,76,RU,1562870001,92,65.53,72.51,60.15,14.27
95,Mar del Plata,24,AR,1562870423,54,-46.43,-67.52,46.65,13.4
96,Almaznyy,20,RU,1562870425,82,48.03,40.04,64.4,6.71
97,Half Moon Bay,75,US,1562870426,93,37.46,-122.43,79.0,8.05
98,Terney,99,RU,1562870427,95,45.05,136.61,54.03,1.3
99,Hobart,40,AU,1562870327,75,-42.88,147.33,45.0,12.75
100,Luderitz,0,NA,1562870429,82,-26.65,15.16,56.37,3.67
101,Saint George,20,GR,1562870431,53,39.45,22.34,73.4,6.93
102,Myanaung,100,MM,1562870432,82,18.28,95.32,78.15,2.3
103,Bonthe,100,SL,1562870433,87,7.53,-12.5,77.25,12.06
104,Mattru,96,SL,1562870435,92,7.62,-11.83,75.81,5.7
105,Naze,99,NG,1562869976,92,5.43,7.07,73.83,6.17
106,Castro,75,CL,1562870437,93,-42.48,-73.76,48.2,13.87
107,Aklavik,75,CA,1562870438,66,68.22,-135.01,48.2,13.87
108,Davila,20,PH,1562870440,88,18.47,120.58,78.8,2.24
109,Srednekolymsk,52,RU,1562870441,50,67.46,153.71,73.83,2.53
110,Buraydah,0,SA,1562869858,18,26.33,43.97,96.8,12.75
111,Alta Floresta,0,BR,1562870443,24,-9.87,-56.08,95.0,4.7
112,Reconquista,100,AR,1562870445,55,-29.14,-59.64,76.35,7.36
113,Arraial do Cabo,0,BR,1562870446,50,-22.97,-42.02,75.2,9.17
114,Mgandu,34,TZ,1562870447,48,-5.96,34.11,66.09,6.51
115,Avarua,0,CK,1562870348,94,-21.21,-159.78,68.0,1.12
116,Deputatskiy,20,RU,1562870450,92,69.3,139.9,55.29,5.14
117,Nikolskoye,40,RU,1562870451,62,59.7,30.79,53.01,4.47
118,Kavieng,100,PG,1562870452,78,-2.57,150.8,81.75,13.22
119,Provideniya,0,RU,1562870453,49,64.42,-173.23,67.17,0.92
120,Saint-Joseph,0,FR,1562870384,78,43.56,6.97,86.0,6.93
121,Pangnirtung,75,CA,1562870456,35,66.15,-65.72,73.4,8.05
122,Tasiilaq,40,GL,1562870166,81,65.61,-37.64,42.8,11.41
123,Tuatapere,97,NZ,1562870458,90,-46.13,167.69,44.01,7.0
124,Celestun,97,MX,1562870459,80,20.87,-90.4,81.39,13.44
125,Mount Gambier,90,AU,1562870461,93,-37.83,140.78,51.8,20.8
126,Kahta,0,TR,1562870462,37,37.78,38.62,86.0,16.11
127,Port Elizabeth,1,US,1562870463,62,39.31,-74.98,91.4,14.99
128,Champerico,20,MX,1562870465,58,16.38,-93.6,84.2,8.05
129,Mayo,90,CA,1562870466,77,63.59,-135.9,60.8,1.57
130,Chuy,100,UY,1562870467,84,-33.69,-53.46,58.71,7.67
131,Shuyskoye,100,RU,1562870468,85,59.37,41.03,46.83,2.59
132,Kaitangata,70,NZ,1562870470,91,-46.28,169.85,41.0,4.0
133,Kasulu,0,TZ,1562870471,69,-4.57,30.11,73.4,2.73
134,Jashpurnagar,100,IN,1562870472,89,22.88,84.14,73.65,6.8
135,Constitucion,40,MX,1562870473,27,23.99,-104.67,80.01,12.75
136,Pistoia,20,IT,1562870475,42,43.93,10.92,82.4,6.93
137,Sinnamary,10,GF,1562870439,80,5.38,-52.96,81.39,15.1
138,Kaoma,0,ZM,1562870477,27,-14.8,24.8,63.57,7.27
139,Wailuku,20,US,1562870478,58,20.89,-156.51,82.4,18.34
140,Usinsk,89,RU,1562870480,92,66.0,57.56,57.09,13.8
141,Faanui,0,PF,1562870481,69,-16.48,-151.75,77.97,9.13
142,Kenai,90,US,1562870482,100,60.55,-151.26,57.99,6.93
143,Rantepao,81,ID,1562870483,97,-2.97,119.9,56.91,2.44
144,Natal,40,BR,1562870440,58,-5.81,-35.21,84.2,17.22
145,Clyde River,75,CA,1562870486,71,70.47,-68.59,53.6,14.99
146,Meulaboh,90,ID,1562870487,70,4.14,96.13,84.45,4.97
147,Frederikshavn,0,DK,1562870488,79,57.44,10.53,64.99,1.01
148,Chute-aux-Outardes,1,CA,1562870490,67,49.12,-68.38,64.4,13.87
149,Lasa,0,CY,1562869896,88,34.92,32.53,87.01,6.93
150,Codrington,0,AU,1562870492,87,-28.95,153.24,55.99,6.93
151,Tarko-Sale,100,RU,1562870022,74,64.92,77.78,69.01,5.99
152,Simao,100,CN,1562870494,98,22.76,100.79,66.81,1.97
153,Novobirilyussy,6,RU,1562870496,85,56.95,90.69,53.31,3.36
154,Panjab,0,AF,1562870497,26,34.38,67.02,51.87,7.27
155,Ca Mau,77,VN,1562870498,83,9.18,105.15,78.33,4.07
156,Kazanskaya,100,RU,1562870499,92,45.41,40.44,62.49,7.43
157,Nyurba,31,RU,1562870413,74,63.29,118.35,62.49,1.79
158,Nelson Bay,0,AU,1562869959,66,-32.72,152.14,57.0,11.41
159,Nucet,21,RO,1562870503,95,46.49,22.56,51.87,5.01
160,Anchorage,90,US,1562870504,100,61.22,-149.89,60.01,4.7
161,Puerto Plata,20,DO,1562870505,63,19.79,-70.69,95.0,17.22
162,Matay,0,EG,1562870507,22,28.42,30.79,95.07,19.66
163,Ahipara,42,NZ,1562870118,83,-35.17,173.16,61.23,24.52
164,Arrifes,20,PT,1562870509,69,37.77,-25.7,75.2,10.29
165,Cabra,0,ES,1562870511,18,37.47,-4.43,102.2,9.17
166,Lorengau,98,PG,1562870383,83,-2.02,147.27,77.79,7.81
167,Bonavista,100,CA,1562870513,83,48.65,-53.11,48.99,8.99
168,Kyabram,94,AU,1562870515,89,-36.31,145.05,53.01,13.62
169,College,90,US,1562870161,82,64.86,-147.8,73.0,3.36
170,Prescott Valley,1,US,1562870517,13,34.61,-112.32,100.99,5.82
171,Saint-Georges,100,CA,1562870518,88,46.12,-70.67,79.0,7.18
172,Kandrian,100,PG,1562870520,77,-6.21,149.55,72.21,12.68
173,Bendigo,100,AU,1562870521,77,-36.76,144.28,48.99,14.76
174,Ambovombe,50,MG,1562870522,65,-25.18,46.09,72.03,12.21
175,Bethel,75,US,1562870523,88,60.79,-161.76,66.2,4.7
176,Alofi,35,NU,1562870525,100,-19.06,-169.92,73.4,8.05
177,Grindavik,90,IS,1562870526,76,63.84,-22.43,55.4,8.05
178,Ostrovnoy,100,RU,1562870527,96,68.05,39.51,39.81,30.33
179,Tiznit,2,MA,1562870528,77,29.7,-9.73,69.69,5.59
180,Port Macquarie,0,AU,1562870530,57,-31.43,152.91,50.0,3.33
181,Cape Town,75,ZA,1562870266,87,-33.93,18.42,57.0,3.36
182,Salinopolis,0,BR,1562870532,78,-0.61,-47.36,81.21,16.58
183,Sao Joao da Barra,0,BR,1562870434,34,-21.64,-41.05,82.4,4.7
184,Cusuna,13,HN,1562870535,79,15.85,-85.23,82.65,19.15
185,Raudeberg,40,NO,1562870514,82,61.99,5.14,69.8,3.36
186,Mariinsk,0,RU,1562870537,79,56.21,87.75,54.21,5.06
187,Saskylakh,100,RU,1562870345,95,71.97,114.09,53.67,1.9
188,Smirnykh,100,RU,1562870540,99,49.74,142.83,52.95,1.52
189,Bulawayo,0,ZW,1562870541,33,-20.16,28.59,62.6,9.17
190,Kieta,100,PG,1562870542,84,-6.22,155.63,78.69,11.99
191,Salalah,90,OM,1562870458,88,17.01,54.1,80.6,5.82
192,Kamakwie,30,SL,1562870544,89,9.5,-12.24,78.33,8.84
193,East London,0,ZA,1562870546,55,-33.02,27.91,64.4,6.93
194,Quatre Cocos,20,MU,1562870487,82,-20.21,57.76,68.0,6.93
195,Goderich,4,CA,1562870056,78,43.74,-81.71,72.0,18.01
196,Khudumelapye,0,BW,1562870550,31,-23.91,24.95,56.91,5.06
197,Pearl Lagoon,40,NI,1562870551,94,12.34,-83.67,82.4,4.7
198,Mozarlandia,0,BR,1562870552,17,-14.74,-50.57,95.07,2.98
199,Caldwell,1,US,1562870554,37,43.67,-116.69,87.01,5.82
200,Bafoulabe,95,ML,1562870555,53,13.81,-10.83,87.87,4.63
201,Entre Rios,41,BR,1562870556,63,-11.94,-38.08,77.61,10.0
202,Canutama,15,BR,1562870557,40,-6.53,-64.38,92.37,3.69
203,La Ronge,90,CA,1562870559,87,55.1,-105.3,59.0,5.82
204,Portland,90,US,1562870347,83,43.66,-70.25,81.0,5.82
205,Assiniboia,78,CA,1562870561,51,49.63,-105.99,77.07,13.06
206,Huangchuan,90,CN,1562870562,93,24.57,102.46,71.01,15.66
207,Chimoio,0,MZ,1562870564,72,-19.11,33.48,62.6,0.63
208,Hambantota,40,LK,1562870565,100,6.12,81.12,80.6,9.17
209,Westport,1,US,1562870398,54,41.14,-73.36,86.0,10.29
210,Jhabua,74,IN,1562870567,78,22.77,74.59,80.13,17.72
211,Ancud,75,CL,1562870569,93,-41.87,-73.83,48.2,13.87
212,Bichena,60,ET,1562870570,76,10.45,38.2,55.11,3.27
213,Bluff,0,AU,1562870571,56,-23.58,149.07,54.75,1.61
214,Tessalit,22,ML,1562870572,12,20.2,1.01,105.51,11.07
215,Khatanga,19,RU,1562870574,66,71.98,102.47,47.37,7.38
216,Pa Sang,75,TH,1562870575,78,18.53,98.94,80.01,3.36
217,Baykit,3,RU,1562870071,74,61.68,96.39,47.37,5.66
218,Gladstone,0,AU,1562870578,66,-23.84,151.26,55.0,9.17
219,Tura,23,RU,1562870579,92,64.27,100.22,49.53,2.64
220,Kapuskasing,90,CA,1562870580,87,49.42,-82.43,55.4,18.34
221,Qaqortoq,75,GL,1562870507,66,60.72,-46.03,53.6,4.7
222,Namibe,30,AO,1562870583,88,-15.19,12.15,65.91,12.93
223,Gorontalo,100,ID,1562870584,95,0.54,123.06,72.57,5.73
224,Maceio,75,BR,1562870425,88,-9.67,-35.74,75.2,8.05
225,Bacolod,74,PH,1562870587,81,10.68,122.95,80.49,2.75
226,Bubaque,100,GW,1562870588,85,11.28,-15.83,79.41,13.2
227,Rensvik,0,NO,1562870589,71,63.1,7.82,66.2,14.99
228,Lompoc,1,US,1562870488,72,34.64,-120.46,81.0,12.75
229,Necochea,100,AR,1562870469,81,-38.55,-58.74,61.0,4.0
230,Ulladulla,1,AU,1562870155,54,-35.36,150.48,57.99,16.11
231,Horizontina,69,BR,1562870594,52,-27.63,-54.31,77.61,3.71
232,Talnakh,53,RU,1562870595,62,69.49,88.39,53.6,4.47
233,Cairns,90,AU,1562870597,94,-16.92,145.77,68.0,8.05
234,Mandalgovi,79,MN,1562870598,52,45.76,106.27,68.25,4.9
235,General Pico,100,AR,1562870599,48,-35.66,-63.75,60.51,5.28
236,Poum,40,MK,1562870601,63,41.28,20.71,66.2,2.24
237,Dauphin,40,CA,1562870603,69,51.15,-100.04,77.0,11.41
238,Carnarvon,0,ZA,1562870604,19,-30.97,22.13,58.71,12.48
239,Butaritari,47,KI,1562870605,75,3.07,172.79,83.91,10.96
240,Tucumcari,1,US,1562870606,42,35.17,-103.73,88.0,6.93
241,Oktyabrskiy,75,RU,1562870102,87,55.61,37.97,57.2,2.24
242,Leningradskiy,33,RU,1562870609,68,69.38,178.42,49.35,8.68
243,Noshiro,100,JP,1562870610,79,40.21,140.05,64.83,2.89
244,Santa Isabel do Rio Negro,31,BR,1562870611,89,-0.41,-65.02,80.67,2.44
245,Brigantine,20,US,1562870613,70,39.41,-74.36,88.0,16.11
246,Avera,40,US,1562870042,55,33.19,-82.53,93.99,11.41
247,Axim,100,GH,1562870615,84,4.87,-2.24,76.17,12.15
248,Walvis Bay,75,NA,1562870616,88,-22.95,14.51,62.6,6.93
249,Hun,2,BE,1562870618,49,50.34,4.87,75.99,8.05
250,Hay River,75,CA,1562870619,29,60.82,-115.79,78.8,16.11
251,Bani,77,YE,1562870620,73,16.02,42.93,88.59,4.97
252,Bandarbeyla,58,SO,1562870524,65,9.49,50.81,80.13,26.71
253,Svetlogorsk,0,RU,1562870505,59,53.14,59.15,62.6,6.71
254,Staryy Nadym,93,RU,1562870624,91,65.61,72.68,60.51,14.25
255,Daru,98,PG,1562870625,82,-9.07,143.21,71.85,7.02
256,Griffith,90,AU,1562870626,87,-34.29,146.06,50.0,10.29
257,Passo de Camaragibe,75,BR,1562870627,88,-9.24,-35.49,75.2,8.05
258,Kudahuvadhoo,99,MV,1562870629,72,2.67,72.89,84.27,9.73
259,Nanakuli,75,US,1562870509,83,21.39,-158.15,82.4,11.41
260,Iralaya,75,HN,1562870631,83,15.0,-83.23,84.2,11.41
261,Kysyl-Syr,1,RU,1562870632,73,63.9,122.77,63.39,2.66
262,Intipuca,0,SV,1562870634,49,13.2,-88.05,93.2,3.36
263,Souillac,0,FR,1562870635,36,45.6,-0.6,80.6,12.75
264,Marawi,92,PH,1562870636,94,8.0,124.29,73.99,5.01
265,Bam,2,IR,1562870637,41,29.11,58.36,73.83,6.73
266,Juegang,88,CN,1562870639,86,32.31,121.18,77.0,8.01
267,Camacha,40,PT,1562870640,56,33.08,-16.33,73.4,14.99
268,Skoghall,96,SE,1562870641,60,59.32,13.47,73.99,3.36
269,Miri,89,NG,1562870642,84,10.31,9.75,74.73,3.09
270,Shimoda,100,JP,1562870449,98,34.7,138.93,66.0,3.0
271,Narsaq,75,GL,1562870645,66,60.91,-46.05,53.6,4.7
272,Severobaykalsk,24,RU,1562870646,70,55.65,109.32,57.81,4.65
273,Wainwright,100,CA,1562870647,83,52.84,-110.86,61.77,11.23
274,Kununurra,49,AU,1562870649,71,-15.77,128.74,57.2,4.7
275,Sorong,99,ID,1562870650,93,-0.86,131.25,73.65,7.14
276,Port Lincoln,100,AU,1562870651,71,-34.72,135.86,57.27,33.69
277,Krasnoturinsk,100,RU,1562870653,86,59.76,60.19,55.65,5.32
278,Port-Gentil,75,GA,1562870546,83,-0.72,8.78,77.0,8.05
279,Sasni,40,IN,1562870655,89,27.7,78.08,86.0,6.93
280,Barmer,53,IN,1562870656,69,25.74,71.4,82.65,28.57
281,Luanda,40,AO,1562870657,73,-8.83,13.24,75.2,6.93
282,Andra,30,RU,1562870659,83,62.52,65.89,61.41,11.86
283,Akdepe,0,TM,1562870660,38,42.05,59.39,87.8,6.93
284,Hamilton,75,CA,1562870397,70,43.26,-79.87,87.01,19.46
285,Northam,40,AU,1562870507,93,-31.65,116.67,46.4,3.13
286,Santa Cruz,44,BR,1562870631,49,-6.22,-36.02,82.47,13.02
287,Sokna,0,NO,1562870665,38,60.24,9.92,77.0,11.41
288,Port Hedland,100,AU,1562870666,32,-20.31,118.58,68.0,6.93
289,Cabo San Lucas,5,MX,1562870537,46,22.89,-109.91,96.01,9.17
290,Ust-Tsilma,53,RU,1562870668,74,65.44,52.15,48.09,6.15
291,Sobradinho,97,BR,1562870669,64,-29.41,-53.03,72.21,4.7
292,Lavrentiya,17,RU,1562870671,47,65.58,-170.99,65.01,5.68
293,Kirakira,91,SB,1562870672,86,-10.46,161.92,77.97,8.3
294,Ponta Delgada,20,PT,1562870673,69,37.73,-25.67,75.2,10.29
295,Nakamura,75,JP,1562870675,94,35.17,136.87,69.8,5.82
296,Sechura,0,PE,1562870433,91,-5.56,-80.82,63.57,13.94
297,Dzerzhinsk,75,RU,1562870677,93,56.24,43.46,59.0,6.71
298,Shunyi,0,CN,1562870678,83,40.13,116.65,80.01,2.24
299,Kerouane,99,GN,1562870680,84,12.23,-12.34,81.21,4.07
300,Los Llanos de Aridane,75,ES,1562870534,64,28.66,-17.92,75.2,12.75
301,Fukue,75,JP,1562870482,94,35.03,136.69,69.8,5.82
302,Bure,75,NG,1562870683,84,10.52,10.33,74.91,5.48
303,Agirish,40,RU,1562870685,66,61.92,63.02,60.51,7.54
304,Porto Walter,0,BR,1562870686,38,-8.27,-72.74,93.09,1.92
305,Marsh Harbour,47,BS,1562870628,74,26.54,-77.06,84.27,10.49
306,Praia,0,BR,1562870688,27,-20.25,-43.81,75.2,3.36
307,Taicheng,99,CN,1562870689,75,22.25,112.8,84.99,5.73
308,Kathu,0,ZA,1562870410,36,-27.7,23.05,52.0,4.5
309,Kitimat,90,CA,1562870411,88,54.02,-128.69,64.0,13.87
310,Nome,40,US,1562870453,59,30.04,-94.42,96.8,5.82
311,Yerbogachen,35,RU,1562870491,88,61.28,108.01,61.23,6.15
312,Padilla,40,CO,1562870695,48,3.23,-76.31,86.0,4.7
313,Suyan,100,CN,1562870697,92,22.77,110.13,77.61,4.68
314,Charters Towers,6,AU,1562870561,56,-20.07,146.27,58.71,8.28
315,Seoul,90,KR,1562870626,100,37.57,126.98,69.8,6.42
316,Bad Oldesloe,0,DE,1562870700,68,53.81,10.37,66.99,4.7
317,Isangel,38,VU,1562870701,81,-19.55,169.27,74.01,12.64
318,Severo-Kurilsk,100,RU,1562870489,96,50.68,156.12,42.69,11.21
319,Kamina,0,CD,1562870704,31,-8.74,25.0,70.23,4.72
320,Unity,100,CA,1562870705,82,52.44,-109.15,64.0,10.0
321,Paita,0,PE,1562870706,290,-5.09,-81.11,62.6,16.11
322,Najran,40,SA,1562870707,14,17.54,44.22,93.2,4.7
323,Sola,68,TZ,1562870709,37,-3.17,33.8,75.99,12.17
324,Coihaique,75,CL,1562870522,93,-45.58,-72.07,46.4,4.7
325,Nurota,16,UZ,1562870711,15,40.56,65.69,89.6,4.7
326,Maniitsoq,54,GL,1562870534,83,65.42,-52.9,46.11,6.69
327,Benguela,4,AO,1562870714,86,-12.58,13.4,69.33,13.15
328,Nodeland,20,NO,1562870715,82,58.16,7.84,62.6,8.05
329,Jiaohe,83,CN,1562870716,94,43.72,127.34,60.87,3.49
330,Areka,71,ET,1562870717,87,7.07,37.71,66.45,2.1
331,Dvinskoy,79,RU,1562870719,86,62.16,45.12,42.87,2.08
332,Piacabucu,0,BR,1562870720,87,-10.41,-36.43,76.53,13.31
333,Broome,20,GB,1562870133,73,52.47,1.45,75.2,4.7
334,Fairbanks,90,US,1562870684,82,64.84,-147.72,69.01,3.36
335,Sembakung,95,ID,1562870724,97,3.82,117.25,72.57,1.74
336,Port Hardy,90,CA,1562870725,93,50.7,-127.42,59.0,5.82
337,Kruisfontein,0,ZA,1562870726,83,-34.0,24.73,54.75,12.71
338,Xining,76,CN,1562870728,83,36.62,101.77,41.25,3.58
339,Yuksekova,20,TR,1562870729,60,37.57,44.29,71.6,4.7
340,Udachnyy,90,RU,1562870730,59,66.42,112.4,64.4,4.47
341,Plouzane,0,FR,1562870731,60,48.38,-4.62,69.8,10.29
342,Coquimbo,0,CL,1562870732,67,-29.95,-71.34,60.01,4.7
343,Vao,28,EE,1562870504,63,59.1,26.19,51.51,3.89
344,Awbari,0,LY,1562870735,8,26.59,12.77,97.59,12.73
345,Emerald,0,AU,1562870736,93,-23.53,148.16,50.0,5.82
346,Orlik,0,PL,1562870737,48,53.95,17.74,66.99,9.17
347,Mae Sai,20,MM,1562870739,78,20.44,99.89,80.6,10.29
348,Kem,75,UG,1562870740,88,2.68,33.77,66.99,4.32
349,Hovd,0,NO,1562870741,63,63.83,10.7,62.6,11.41
350,Kamenka,65,MD,1562870743,72,48.03,28.7,59.0,1.01
351,Pisco,7,PE,1562870744,30,-13.71,-76.2,71.6,10.29
352,Thompson,90,CA,1562870745,87,55.74,-97.86,57.2,5.82
353,Tandil,100,AR,1562870747,47,-37.33,-59.14,63.0,3.0
354,Dustlik,0,UZ,1562870748,19,40.53,68.03,86.07,5.93
355,Homer,1,US,1562870749,82,59.64,-151.54,60.8,13.27
356,Nanortalik,99,GL,1562870750,91,60.14,-45.24,40.17,6.13
357,Lakhipur,100,IN,1562870752,92,26.03,90.3,78.33,8.01
358,Tres Picos,99,MX,1562870753,65,16.23,-93.58,83.55,3.78
359,Yar-Sale,100,RU,1562870754,90,66.83,70.83,59.97,11.72
360,Mitu,14,IR,1562870755,16,36.2,46.09,75.45,9.51
361,Broken Hill,40,AU,1562870757,71,-31.97,141.45,51.8,12.75
362,Nuqui,75,CO,1562870758,77,5.71,-77.27,66.2,8.05
363,Jieshi,100,CN,1562870759,93,22.82,115.83,82.0,3.0
364,Petropavlovsk-Kamchatskiy,90,RU,1562870760,100,53.05,158.65,53.6,2.24
365,Durango,40,MX,1562870762,27,24.02,-104.67,80.01,12.75
366,Snasa,75,NO,1562870763,76,64.25,12.38,55.4,6.93
367,Geraldton,40,CA,1562870764,46,49.72,-86.95,69.8,13.87
368,Rundu,0,NA,1562870766,17,-17.91,19.77,63.03,5.37
369,Barela,100,IN,1562870767,81,23.1,80.05,79.59,7.63
370,Huarmey,84,PE,1562870768,88,-10.07,-78.15,63.03,12.5
371,Dowa,100,CN,1562870769,98,31.0,94.93,35.13,6.29
372,Chapeco,0,BR,1562870771,36,-27.1,-52.62,84.99,13.87
373,Cabarroguis,3,PH,1562870772,95,16.51,121.53,72.93,2.24
374,Polyarnyy,75,RU,1562870773,75,69.2,33.45,42.8,11.18
